"year","age","gender","race","education","south","income","party_id","interest","gov_trust","abortion","dem_thermometer","rep_thermometer"
2012,57,1,1,5,2,1,1,3,NA,2,85,40
2012,59,2,1,3,2,4,4,2,3,3,50,50
2012,40,2,1,6,2,4,6,2,2,3,15,60
2012,54,2,1,3,2,0,7,2,2,4,0,85
2012,52,2,1,5,2,4,4,2,2,4,10,50
2012,60,1,3,4,2,4,3,2,NA,4,60,15
2012,89,2,1,3,2,1,7,3,NA,3,30,70
2012,59,2,1,3,2,1,5,2,3,2,50,40
2012,46,2,1,6,2,4,1,3,2,4,40,40
2012,42,1,1,6,2,4,5,3,2,3,40,40
2012,0,1,1,5,2,4,3,3,NA,4,70,30
2012,54,2,1,2,2,4,5,3,NA,4,30,70
2012,42,1,1,6,2,3,5,2,NA,4,30,60
2012,53,2,1,6,2,5,1,3,NA,4,60,40
2012,47,1,1,3,2,3,3,3,NA,4,85,15
2012,61,1,1,3,2,2,1,3,2,4,85,0
2012,64,1,1,3,2,1,3,2,2,4,50,15
2012,47,1,1,6,2,4,5,3,NA,4,40,40
2012,50,1,3,6,2,4,4,2,NA,3,40,40
2012,47,2,1,2,2,3,4,2,2,4,50,50
2012,61,1,1,6,2,3,5,3,2,3,30,70
2012,64,1,1,6,2,4,3,2,2,4,60,40
2012,34,1,2,5,2,1,3,2,NA,4,60,50
2012,56,2,1,4,2,3,3,2,NA,4,70,40
2012,55,1,1,2,2,3,1,3,NA,1,60,15
2012,61,1,1,2,2,3,3,3,2,3,70,15
2012,20,2,1,5,2,4,3,2,NA,4,60,30
2012,41,1,1,5,2,3,3,3,NA,4,70,50
2012,56,2,1,5,2,3,1,2,3,4,85,0
2012,35,2,1,3,2,1,4,3,2,2,50,50
2012,62,2,1,3,2,1,1,3,NA,4,97,0
2012,68,2,1,6,2,3,4,3,3,2,50,50
2012,54,2,1,2,2,1,3,2,NA,4,50,50
2012,41,1,1,5,2,3,2,2,NA,4,85,15
2012,49,2,1,5,2,3,6,3,2,3,50,60
2012,41,2,1,6,2,3,7,2,2,1,25,65
2012,74,2,1,5,2,1,2,2,NA,4,60,50
2012,83,2,1,3,2,2,5,2,NA,2,60,70
2012,75,1,1,6,2,4,3,3,NA,4,70,0
2012,69,1,1,6,2,3,1,3,NA,4,85,0
2012,85,2,1,6,2,4,1,2,NA,4,85,15
2012,60,2,1,6,2,4,5,3,2,1,40,60
2012,83,2,1,6,2,1,5,3,9,4,40,70
2012,23,2,3,5,2,1,2,3,2,1,97,40
2012,45,2,1,5,2,3,2,3,3,2,97,15
2012,83,2,1,6,2,3,4,2,2,4,50,50
2012,19,1,1,2,2,3,6,2,NA,2,40,50
2012,40,1,1,3,2,3,2,3,NA,4,60,15
2012,22,1,3,5,2,2,1,2,2,4,70,30
2012,53,2,1,3,2,3,6,2,2,3,60,70
2012,56,2,1,2,2,2,5,3,NA,2,30,30
2012,56,1,1,6,2,2,1,3,2,4,60,30
2012,47,1,1,5,2,3,2,2,NA,4,60,40
2012,65,1,1,6,2,4,1,3,3,3,70,0
2012,72,1,3,5,2,0,3,3,NA,4,70,15
2012,32,1,1,5,2,3,3,3,NA,4,70,30
2012,35,2,1,6,2,3,6,2,2,3,40,85
2012,62,2,1,5,2,4,1,2,NA,3,70,60
2012,63,1,1,6,2,4,7,3,2,3,40,85
2012,76,1,1,2,2,2,2,3,2,2,50,50
2012,54,2,1,3,2,3,6,3,2,2,50,60
2012,53,1,1,5,2,4,6,3,NA,4,60,70
2012,46,2,1,3,2,3,7,3,NA,2,60,70
2012,62,1,1,3,2,3,3,3,NA,3,60,50
2012,57,2,1,3,2,3,1,2,NA,4,70,50
2012,51,2,1,5,2,1,3,2,NA,4,70,70
2012,54,2,1,4,2,4,6,2,2,4,50,50
2012,61,1,1,6,2,3,7,3,NA,3,15,60
2012,50,1,1,3,2,3,4,3,2,4,60,30
2012,37,2,1,5,2,4,7,3,NA,2,15,70
2012,40,1,1,2,2,3,4,3,NA,4,30,30
2012,32,2,1,2,2,1,0,3,9,3,50,50
2012,62,1,1,5,2,2,5,3,2,3,40,70
2012,41,2,1,3,2,4,1,2,3,4,97,0
2012,52,1,2,5,2,3,3,2,2,4,70,60
2012,61,2,1,3,2,3,2,3,NA,4,85,15
2012,54,1,3,6,2,3,1,2,3,4,70,50
2012,65,1,3,2,2,1,3,3,3,2,60,50
2012,54,2,1,4,2,3,5,2,NA,4,40,60
2012,31,2,3,5,2,2,2,3,NA,3,85,60
2012,66,2,3,2,2,1,2,3,3,4,50,50
2012,61,2,3,5,2,2,7,3,2,3,15,85
2012,53,1,2,5,2,2,5,3,NA,1,70,70
2012,52,2,3,3,2,3,1,2,2,2,85,15
2012,19,2,3,3,2,1,3,2,2,3,85,60
2012,27,1,3,3,2,3,5,3,NA,2,50,70
2012,68,1,3,4,2,3,1,3,4,4,97,15
2012,22,2,3,6,2,2,2,3,NA,9,15,0
2012,30,1,3,3,2,4,1,2,2,1,85,50
2012,53,1,1,3,2,3,1,2,NA,4,85,40
2012,23,2,2,5,2,3,4,3,NA,1,60,60
2012,33,2,2,6,2,1,1,3,3,4,97,0
2012,59,2,1,5,2,1,1,2,NA,1,97,0
2012,73,2,1,6,2,2,3,2,2,3,70,40
2012,90,2,1,6,2,0,0,3,NA,4,98,50
2012,64,1,3,6,2,3,1,2,NA,1,75,65
2012,61,2,3,2,2,2,2,2,NA,2,70,60
2012,40,2,3,5,2,1,6,3,2,4,0,97
2012,47,2,1,5,2,4,6,3,NA,4,70,97
2012,41,1,1,4,1,1,6,3,2,4,70,97
2012,65,1,1,2,1,3,4,3,NA,2,50,50
2012,42,1,2,3,1,1,1,2,2,4,85,60
2012,46,1,1,2,1,3,2,3,2,4,40,50
