"gender","age","education","hours","weeks","salary"
0,64,40,44,52,5000
0,55,35,40,52,64000
0,63,40,40,16,16000
1,55,39,40,33,17000
0,60,40,55,52,22000
0,56,42,40,52,12000
1,60,39,12,36,4500
1,59,44,50,52,40000
0,63,40,55,52,2486
1,61,39,40,52,27000
1,57,34,40,52,14000
1,57,43,32,52,10000
0,59,40,40,52,47000
0,61,39,40,52,30000
1,58,44,40,40,55000
1,62,34,16,52,4900
1,64,44,60,52,28000
1,58,41,40,28,16000
0,62,39,40,50,40000
1,62,36,45,52,42000
1,57,39,38,52,20000
1,56,40,33,52,12000
0,55,39,40,52,69000
1,56,40,40,52,12000
0,61,43,50,52,150000
1,59,39,28,23,3785
0,62,32,16,26,7660
0,61,40,40,52,80000
1,63,39,38,52,36000
0,58,43,40,52,99999
1,55,39,40,52,24000
0,56,39,60,50,59900
0,59,39,35,52,85000
1,57,38,40,52,20421
0,63,43,40,3,2800
1,57,42,40,52,15732
0,63,39,30,2,733
1,56,38,40,52,24000
0,64,43,45,52,20000
1,56,42,40,52,29000
0,58,45,35,52,99999
1,55,46,60,52,26000
0,55,40,40,30,13000
1,64,39,40,52,15000
1,55,43,60,52,25000
1,57,37,40,52,22611
1,60,41,40,52,20000
0,62,33,40,30,16000
0,55,44,45,52,50000
0,60,39,40,52,29000
1,59,39,50,52,19000
0,57,40,60,52,14579
0,55,43,40,52,70000
1,58,39,40,52,26000
0,60,37,40,52,24948
1,58,39,32,52,11232
0,60,39,40,52,16000
0,55,39,40,52,32433
1,59,39,40,46,8930
0,62,40,40,52,33000
1,56,39,33,39,4501
0,60,39,40,52,100399
0,56,37,40,52,22880
1,58,39,35,52,10160
1,55,31,40,52,11000
0,62,43,25,52,7500
1,62,39,40,52,16640
1,64,40,25,52,8604
0,56,39,38,25,12806
1,79,39,3,52,624
1,90,40,1,26,650
1,65,39,20,47,5250
0,79,32,28,36,7000
0,75,43,9,30,2000
0,75,33,20,40,9000
0,71,39,35,52,2000
0,70,43,30,33,4000
1,67,38,24,51,6120
1,85,39,4,51,300
0,70,39,20,48,12000
1,66,39,9,52,3165
0,69,32,20,52,5200
1,84,39,99,52,900
0,67,35,20,36,2700
1,65,39,8,52,3600
1,70,40,2,4,30
1,66,43,24,34,5100
0,65,34,24,35,5000
0,90,39,40,52,35000
1,68,43,15,52,10000
